site_code,zone_name,cluster_name,vendor,latitude,longitude,cluster_id,cluster_rank,cluster_type
MPT020,B1,Foz,ERICSSON,41.166046,-8.678221,14,0,normalized time-series kmeans
MPT023,B1,Foz,ERICSSON,41.170546,-8.667399,4,4,normalized time-series kmeans
MPT022,B1,Foz,ERICSSON,41.155866,-8.664221,13,2,normalized time-series kmeans
DPT001,B1,Foz,ERICSSON,41.164793,-8.671647,13,2,normalized time-series kmeans
MPT018,B1,Foz,ERICSSON,41.149073,-8.664945,10,1,normalized time-series kmeans
MPT019,B1,Foz,ERICSSON,41.173163,-8.672154,4,4,normalized time-series kmeans
MPT014,B1,Foz,ERICSSON,41.16203,-8.683841,0,11,normalized time-series kmeans
MPT015,B1,Foz,ERICSSON,41.149363,-8.671653,11,9,normalized time-series kmeans
MPT021,B1,Foz,ERICSSON,41.162988,-8.665969,4,4,normalized time-series kmeans
MPT013,B1,Foz,ERICSSON,41.157971,-8.679893,10,1,normalized time-series kmeans
MPT016,B1,Foz,ERICSSON,41.152348,-8.678048,8,6,normalized time-series kmeans
MPT017,B1,Foz,ERICSSON,41.154911,-8.674688,0,11,normalized time-series kmeans
MBR001,B1,Aves,ERICSSON,41.425388,-8.356287,4,4,normalized time-series kmeans
MBR008,B1,Aves,ERICSSON,41.393361,-8.387251,4,4,normalized time-series kmeans
MBR010,B1,Aves,ERICSSON,41.408256,-8.372512,5,7,normalized time-series kmeans
MBR004,B1,Aves,ERICSSON,41.430191,-8.427285,4,4,normalized time-series kmeans
MBR151,B1,Aves,ERICSSON,41.378121,-8.353213,9,8,normalized time-series kmeans
MBR009,B1,Aves,ERICSSON,41.440049,-8.413708,4,4,normalized time-series kmeans
MBR003,B1,Aves,ERICSSON,41.36755,-8.369689,4,4,normalized time-series kmeans
MPT447,B1,Aves,ERICSSON,41.357498,-8.390224,4,4,normalized time-series kmeans
MBR005,B1,Aves,ERICSSON,41.379335,-8.419911,4,4,normalized time-series kmeans
MBR006,B1,Aves,ERICSSON,41.401787,-8.329737,4,4,normalized time-series kmeans
MBR150,B1,Aves,ERICSSON,41.393889,-8.356844,1,5,normalized time-series kmeans
MBR011,B1,Aves,ERICSSON,41.370479,-8.394351,0,11,normalized time-series kmeans
MPT026,B1,Aves,ERICSSON,41.373147,-8.34285,9,8,normalized time-series kmeans
MBR007,B1,Aves,ERICSSON,41.416222,-8.404518,4,4,normalized time-series kmeans
MBR002,B1,Aves,ERICSSON,41.378166,-8.31485,4,4,normalized time-series kmeans
MBR029,B1,Fafe,ERICSSON,41.474223,-8.162686,7,12,normalized time-series kmeans
MBR030,B1,Fafe,ERICSSON,41.496694,-8.208317,7,12,normalized time-series kmeans
MBR031,B1,Fafe,ERICSSON,41.408944,-8.231197,7,12,normalized time-series kmeans
MPT120,B1,Fafe,ERICSSON,41.362921,-8.201658,3,3,normalized time-series kmeans
MBR032,B1,Fafe,ERICSSON,41.449474,-8.17069,3,3,normalized time-series kmeans
MBR034,B1,Fafe,ERICSSON,41.460349,-8.183627,9,8,normalized time-series kmeans
MBR035,B1,Fafe,ERICSSON,41.455952,-8.138951,12,13,normalized time-series kmeans
MPT115,B1,Fafe,ERICSSON,41.36798,-8.189465,14,0,normalized time-series kmeans
MBR033,B1,Fafe,ERICSSON,41.4543,-8.214017,1,5,normalized time-series kmeans
MBR027,B1,Fafe,ERICSSON,41.443887,-8.180362,1,5,normalized time-series kmeans
MPT503,B1,Fafe,ERICSSON,41.386711,-8.230861,12,13,normalized time-series kmeans
