site_code,zone_name,cluster_name,vendor,latitude,longitude,cluster_id,cluster_rank,cluster_type
MPT020,B1,Foz,ERICSSON,41.166046,-8.678221,0,7,normalized time-series kmeans (4g)
MPT015,B1,Foz,ERICSSON,41.149363,-8.671653,0,7,normalized time-series kmeans (4g)
MPT018,B1,Foz,ERICSSON,41.149073,-8.664945,6,0,normalized time-series kmeans (4g)
MPT022,B1,Foz,ERICSSON,41.155866,-8.664221,5,5,normalized time-series kmeans (4g)
MPT016,B1,Foz,ERICSSON,41.152348,-8.678048,7,4,normalized time-series kmeans (4g)
MPT019,B1,Foz,ERICSSON,41.173163,-8.672154,8,13,normalized time-series kmeans (4g)
MPT023,B1,Foz,ERICSSON,41.170546,-8.667399,8,13,normalized time-series kmeans (4g)
MPT021,B1,Foz,ERICSSON,41.162988,-8.665969,7,4,normalized time-series kmeans (4g)
MPT013,B1,Foz,ERICSSON,41.157971,-8.679893,0,7,normalized time-series kmeans (4g)
MPT017,B1,Foz,ERICSSON,41.154911,-8.674688,8,13,normalized time-series kmeans (4g)
MPT014,B1,Foz,ERICSSON,41.16203,-8.683841,7,4,normalized time-series kmeans (4g)
MPT447,B1,Aves,ERICSSON,41.357498,-8.390224,2,14,normalized time-series kmeans (4g)
MBR150,B1,Aves,ERICSSON,41.393889,-8.356844,1,12,normalized time-series kmeans (4g)
MBR151,B1,Aves,ERICSSON,41.378121,-8.353213,13,10,normalized time-series kmeans (4g)
MBR003,B1,Aves,ERICSSON,41.36755,-8.369689,7,4,normalized time-series kmeans (4g)
MBR005,B1,Aves,ERICSSON,41.379335,-8.419911,7,4,normalized time-series kmeans (4g)
MBR009,B1,Aves,ERICSSON,41.440049,-8.413708,7,4,normalized time-series kmeans (4g)
MBR011,B1,Aves,ERICSSON,41.370479,-8.394351,8,13,normalized time-series kmeans (4g)
MBR010,B1,Aves,ERICSSON,41.408256,-8.372512,1,12,normalized time-series kmeans (4g)
MPT026,B1,Aves,ERICSSON,41.373147,-8.34285,12,8,normalized time-series kmeans (4g)
MBR008,B1,Aves,ERICSSON,41.393361,-8.387251,7,4,normalized time-series kmeans (4g)
MBR006,B1,Aves,ERICSSON,41.401787,-8.329737,2,14,normalized time-series kmeans (4g)
MBR002,B1,Aves,ERICSSON,41.378166,-8.31485,7,4,normalized time-series kmeans (4g)
MBR007,B1,Aves,ERICSSON,41.416222,-8.404518,7,4,normalized time-series kmeans (4g)
MBR004,B1,Aves,ERICSSON,41.430191,-8.427285,7,4,normalized time-series kmeans (4g)
MBR001,B1,Aves,ERICSSON,41.425388,-8.356287,7,4,normalized time-series kmeans (4g)
MBR031,B1,Fafe,ERICSSON,41.408944,-8.231197,8,13,normalized time-series kmeans (4g)
MBR025,B1,Fafe,ERICSSON,41.422356,-8.197757,2,14,normalized time-series kmeans (4g)
MBR026,B1,Fafe,ERICSSON,41.397841,-8.151597,8,13,normalized time-series kmeans (4g)
MPT503,B1,Fafe,ERICSSON,41.386711,-8.230861,8,13,normalized time-series kmeans (4g)
MBR030,B1,Fafe,ERICSSON,41.496694,-8.208317,1,12,normalized time-series kmeans (4g)
MPT124,B1,Fafe,ERICSSON,41.364852,-8.223262,9,9,normalized time-series kmeans (4g)
MBR035,B1,Fafe,ERICSSON,41.455952,-8.138951,13,10,normalized time-series kmeans (4g)
MBR034,B1,Fafe,ERICSSON,41.460349,-8.183627,12,8,normalized time-series kmeans (4g)
MBR033,B1,Fafe,ERICSSON,41.4543,-8.214017,10,1,normalized time-series kmeans (4g)
MBR029,B1,Fafe,ERICSSON,41.474223,-8.162686,14,11,normalized time-series kmeans (4g)
MBR028,B1,Fafe,ERICSSON,41.407161,-8.262334,7,4,normalized time-series kmeans (4g)
MBR032,B1,Fafe,ERICSSON,41.449474,-8.17069,6,0,normalized time-series kmeans (4g)
MPT115,B1,Fafe,ERICSSON,41.36798,-8.189465,6,0,normalized time-series kmeans (4g)
MPT120,B1,Fafe,ERICSSON,41.362921,-8.201658,6,0,normalized time-series kmeans (4g)
MBR027,B1,Fafe,ERICSSON,41.443887,-8.180362,4,6,normalized time-series kmeans (4g)
MPT078,B1,Maia,ERICSSON,41.246603,-8.620979,1,12,normalized time-series kmeans (4g)
MPT083,B1,Maia,ERICSSON,41.237622,-8.640399,5,5,normalized time-series kmeans (4g)
MPT085,B1,Maia,ERICSSON,41.222607,-8.62107,13,10,normalized time-series kmeans (4g)
MPT075,B1,Maia,ERICSSON,41.238471,-8.608091,8,13,normalized time-series kmeans (4g)
MPT086,B1,Maia,ERICSSON,41.233546,-8.622164,5,5,normalized time-series kmeans (4g)
MPT090,B1,Maia,ERICSSON,41.230687,-8.613077,13,10,normalized time-series kmeans (4g)
MPT084,B1,Maia,ERICSSON,41.224139,-8.608009,8,13,normalized time-series kmeans (4g)
MPT073,B1,Maia,ERICSSON,41.231371,-8.623728,5,5,normalized time-series kmeans (4g)
MPT079,B1,Maia,ERICSSON,41.218693,-8.639142,0,7,normalized time-series kmeans (4g)
MAV010,B1,Ovar,ERICSSON,40.836019,-8.592264,10,1,normalized time-series kmeans (4g)
MAV008,B1,Ovar,ERICSSON,40.925011,-8.604794,13,10,normalized time-series kmeans (4g)
MAV006,B1,Ovar,ERICSSON,40.899197,-8.598121,13,10,normalized time-series kmeans (4g)
MAV003,B1,Ovar,ERICSSON,40.873199,-8.67213,14,11,normalized time-series kmeans (4g)
MAV007,B1,Ovar,ERICSSON,40.856528,-8.568967,8,13,normalized time-series kmeans (4g)
MAV002,B1,Ovar,ERICSSON,40.88847,-8.614591,5,5,normalized time-series kmeans (4g)
MAV009,B1,Ovar,ERICSSON,40.865468,-8.627005,7,4,normalized time-series kmeans (4g)
MAV001,B1,Ovar,ERICSSON,40.859888,-8.628662,2,14,normalized time-series kmeans (4g)
MAV005,B1,Ovar,ERICSSON,40.940102,-8.603136,9,9,normalized time-series kmeans (4g)
MAV004,B1,Ovar,ERICSSON,40.85767,-8.61153,1,12,normalized time-series kmeans (4g)
MPT334,B1,Antas,ERICSSON,41.171043,-8.573588,7,4,normalized time-series kmeans (4g)
MPT330,B1,Antas,ERICSSON,41.148904,-8.57192,13,10,normalized time-series kmeans (4g)
MPT324,B1,Antas,ERICSSON,41.160616,-8.592142,11,2,normalized time-series kmeans (4g)
MPT322,B1,Antas,ERICSSON,41.167266,-8.588932,14,11,normalized time-series kmeans (4g)
MPT323,B1,Antas,ERICSSON,41.161011,-8.578017,3,3,normalized time-series kmeans (4g)
MPT335,B1,Antas,ERICSSON,41.173804,-8.588545,3,3,normalized time-series kmeans (4g)
MPT331,B1,Antas,ERICSSON,41.148082,-8.583485,6,0,normalized time-series kmeans (4g)
MPT333,B1,Antas,ERICSSON,41.169556,-8.597179,0,7,normalized time-series kmeans (4g)
MPT336,B1,Antas,ERICSSON,41.165939,-8.594731,0,7,normalized time-series kmeans (4g)
MPT325,B1,Antas,ERICSSON,41.155915,-8.580074,5,5,normalized time-series kmeans (4g)
MBR054,B1,Brito,ERICSSON,41.550358,-8.329989,14,11,normalized time-series kmeans (4g)
MBR051,B1,Brito,ERICSSON,41.472373,-8.384733,1,12,normalized time-series kmeans (4g)
MBR053,B1,Brito,ERICSSON,41.463996,-8.33295,12,8,normalized time-series kmeans (4g)
MBR058,B1,Brito,ERICSSON,41.485103,-8.319677,10,1,normalized time-series kmeans (4g)
MBR059,B1,Brito,ERICSSON,41.452155,-8.357292,6,0,normalized time-series kmeans (4g)
MBR052,B1,Brito,ERICSSON,41.486649,-8.3518,6,0,normalized time-series kmeans (4g)
MBR056,B1,Brito,ERICSSON,41.516953,-8.312189,4,6,normalized time-series kmeans (4g)
MBR057,B1,Brito,ERICSSON,41.520777,-8.355007,4,6,normalized time-series kmeans (4g)
MBR055,B1,Brito,ERICSSON,41.444146,-8.385035,0,7,normalized time-series kmeans (4g)
MBR050,B1,Brito,ERICSSON,41.537548,-8.367859,1,12,normalized time-series kmeans (4g)
MPT449,B1,Trofa,ERICSSON,41.34199,-8.539676,0,7,normalized time-series kmeans (4g)
MBR040,B1,Trofa,ERICSSON,41.372297,-8.608078,2,14,normalized time-series kmeans (4g)
MPT127,B1,Trofa,ERICSSON,41.311372,-8.630496,12,8,normalized time-series kmeans (4g)
MPT128,B1,Trofa,ERICSSON,41.338481,-8.553327,6,0,normalized time-series kmeans (4g)
MPT129,B1,Trofa,ERICSSON,41.330089,-8.671821,8,13,normalized time-series kmeans (4g)
MBR041,B1,Trofa,ERICSSON,41.356677,-8.551123,8,13,normalized time-series kmeans (4g)
MBR047,B1,Trofa,ERICSSON,41.361515,-8.567732,9,9,normalized time-series kmeans (4g)
MPT132,B1,Trofa,ERICSSON,41.362515,-8.697602,13,10,normalized time-series kmeans (4g)
MPT126,B1,Trofa,ERICSSON,41.311363,-8.59069,7,4,normalized time-series kmeans (4g)
MPT125,B1,Trofa,ERICSSON,41.336222,-8.560764,6,0,normalized time-series kmeans (4g)
MPT131,B1,Trofa,ERICSSON,41.372358,-8.664386,12,8,normalized time-series kmeans (4g)
MAV092,B1,Vagos,ERICSSON,40.547299,-8.718402,2,14,normalized time-series kmeans (4g)
MAV096,B1,Vagos,ERICSSON,40.544046,-8.647855,2,14,normalized time-series kmeans (4g)
MAV093,B1,Vagos,ERICSSON,40.499938,-8.608456,14,11,normalized time-series kmeans (4g)
MAV202,B1,Vagos,ERICSSON,40.499499,-8.571329,2,14,normalized time-series kmeans (4g)
MAV090,B1,Vagos,ERICSSON,40.521614,-8.598284,2,14,normalized time-series kmeans (4g)
MAV214,B1,Vagos,ERICSSON,40.471662,-8.640368,1,12,normalized time-series kmeans (4g)
MAV095,B1,Vagos,ERICSSON,40.577658,-8.648471,14,11,normalized time-series kmeans (4g)
MCO093,B1,Vagos,ERICSSON,40.457151,-8.574172,10,1,normalized time-series kmeans (4g)
MAV084,B1,Vagos,ERICSSON,40.563071,-8.616192,8,13,normalized time-series kmeans (4g)
MAV097,B1,Vagos,ERICSSON,40.555992,-8.681986,12,8,normalized time-series kmeans (4g)
MAV087,B1,Vagos,ERICSSON,40.477108,-8.68762,4,6,normalized time-series kmeans (4g)
MAV104,B1,Vagos,ERICSSON,40.505093,-8.679169,13,10,normalized time-series kmeans (4g)
MCO092,B1,Vagos,ERICSSON,40.448213,-8.700147,12,8,normalized time-series kmeans (4g)
MAV108,B1,Agueda,ERICSSON,40.624761,-8.46813,14,11,normalized time-series kmeans (4g)
MAV109,B1,Agueda,ERICSSON,40.564302,-8.477645,12,8,normalized time-series kmeans (4g)
MAV119,B1,Agueda,ERICSSON,40.548256,-8.397735,2,14,normalized time-series kmeans (4g)
MAV122,B1,Agueda,ERICSSON,40.535525,-8.367114,1,12,normalized time-series kmeans (4g)
MAV106,B1,Agueda,ERICSSON,40.638368,-8.529303,1,12,normalized time-series kmeans (4g)
MAV107,B1,Agueda,ERICSSON,40.562007,-8.450814,12,8,normalized time-series kmeans (4g)
MAV117,B1,Agueda,ERICSSON,40.59504,-8.495949,10,1,normalized time-series kmeans (4g)
MAV110,B1,Agueda,ERICSSON,40.592532,-8.465029,0,7,normalized time-series kmeans (4g)
MAV120,B1,Agueda,ERICSSON,40.544311,-8.450238,12,8,normalized time-series kmeans (4g)
MAV113,B1,Agueda,ERICSSON,40.579113,-8.435657,0,7,normalized time-series kmeans (4g)
MBR144,B1,Amares,ERICSSON,41.590117,-8.426237,1,12,normalized time-series kmeans (4g)
MBR129,B1,Amares,ERICSSON,41.625243,-8.391444,14,11,normalized time-series kmeans (4g)
MBR167,B1,Amares,ERICSSON,41.601356,-8.458558,14,11,normalized time-series kmeans (4g)
MBR127,B1,Amares,ERICSSON,41.608624,-8.419263,4,6,normalized time-series kmeans (4g)
MBR125,B1,Amares,ERICSSON,41.59537,-8.413047,1,12,normalized time-series kmeans (4g)
MBR122,B1,Amares,ERICSSON,41.634908,-8.345718,4,6,normalized time-series kmeans (4g)
MBR124,B1,Amares,ERICSSON,41.600934,-8.363545,8,13,normalized time-series kmeans (4g)
MBR132,B1,Amares,ERICSSON,41.591202,-8.446031,9,9,normalized time-series kmeans (4g)
MBR131,B1,Amares,ERICSSON,41.573893,-8.403381,1,12,normalized time-series kmeans (4g)
MBR121,B1,Amares,ERICSSON,41.568084,-8.38644,12,8,normalized time-series kmeans (4g)
MBR130,B1,Amares,ERICSSON,41.574677,-8.366466,7,4,normalized time-series kmeans (4g)
MBR123,B1,Amares,ERICSSON,41.583158,-8.434991,8,13,normalized time-series kmeans (4g)
MBR136,B1,Apulia,ERICSSON,41.51465,-8.648289,1,12,normalized time-series kmeans (4g)
